date,cash,equity,dividendCash,cumulativeDividends,holdings,top3,pendingSwapBuy,pendingSwapSell,positionValue,kospiClose,kospiValue
2002-07-24,2192012.3011381067,15359800.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,amore_holdings,doosan",,,13167788.0,721.41,8758908.733290434
2002-07-25,2192012.3011381067,15159350.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,daishin_sec,hyundai_motor_3pref",,,12967338.0,723.52,8784527.032769568
2002-07-26,2192012.3011381067,15065200.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,daishin_sec",,,12873188.0,697.84,8472736.544322086
2002-07-29,2192012.3011381067,15144150.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,daishin_sec",,,12952138.0,700.35,8503211.393465513
2002-07-30,2192012.3011381067,15667350.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,lg_chem,doosan",,,13475338.0,724.08,8791326.202299576
2002-07-31,2192012.3011381067,15667350.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,hyundai_motor,lg_elec",,,13475338.0,717.99,8717385.233660746
2002-08-01,2192012.3011381067,15536550.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,samsung_elec",,,13344538.0,707.8,8593664.630962932
2002-08-02,2192012.3011381067,15663850.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,lotte_chilsung",,,13471838.0,700.68,8507218.046938552
2002-08-05,2192012.3011381067,15402850.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,samsung_fire",,,13210838.0,675.76,8204655.002853223
2002-08-06,2192012.3011381067,15631600.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,lotte_chilsung",,,13439588.0,673.78,8180615.082014983
