year,period,metric,n,low_n,high_n,low_metric_mean,high_metric_mean,low_raw_change_mean,high_raw_change_mean,raw_high_minus_low,low_dividend_removed_change_mean,high_dividend_removed_change_mean,dividend_removed_high_minus_low,preferred_only_removed_high_minus_low
2009,2000s,yield_gap_t-60,25,8,8,0.5986775143762432,3.0200160441828183,-1.1199999999999997,-1.4362499999999994,-0.3162499999999997,-0.8312103251923912,-0.3632874579914036,0.46792286720098764,0.6391733940380928
2010,2010s,yield_gap_t-60,31,10,10,0.6572550862702773,3.0521750662328997,2.537000000000001,-1.3609999999999978,-3.897999999999999,2.821309340090731,-0.4165764433292978,-3.2378857834200288,-3.15010084751174
2011,2010s,yield_gap_t-60,31,10,10,0.7590286808389448,3.8892277339012624,2.4699999999999984,1.0719999999999992,-1.3979999999999992,2.801936284874398,2.1967800985814443,-0.6051561862929535,-0.5436280478421365
2012,2010s,yield_gap_t-60,32,10,10,0.9068642335167164,4.157988745043152,0.31799999999999906,-0.6109999999999985,-0.9289999999999976,0.640391022742663,0.6054515315685294,-0.03493949117413364,0.17852168163027882
2013,2010s,yield_gap_t-60,39,12,12,0.6331413288261432,2.362316982014598,0.08583333333333225,-2.1683333333333352,-2.2541666666666673,0.4059210974325828,-1.178851623752948,-1.584772721185531,-1.3389351771285203
2014,2010s,yield_gap_t-60,39,12,12,0.3051929737165245,1.662694481548946,5.640833333333334,4.3374999999999995,-1.3033333333333346,5.893489282258752,5.421230613614756,-0.47225866864399624,0.3404255574817121
2015,2010s,yield_gap_t-60,44,13,13,0.34245021218784194,2.1490168525567888,-2.0615384615384618,-2.162307692307693,-0.10076923076923139,-1.825165071449974,-0.8667745267674193,0.9583905446825548,1.6900019947976492
2016,2010s,yield_gap_t-60,43,13,13,0.3763898767516751,2.2792011407405464,-1.8923076923076914,2.3661538461538467,4.258461538461538,-1.6116318698629426,3.797563990453016,5.4091958603159584,6.15811588671029
2017,2010s,yield_gap_t-60,41,13,13,0.5354806894639091,2.2262789105070335,1.1823076923076927,-1.1223076923076916,-2.304615384615384,1.5046173983897673,0.15643972763665367,-1.3481776707531137,-0.4394118537856504
2018,2010s,yield_gap_t-60,44,13,13,0.46255280274498084,2.246289765731933,0.20153846153846378,-3.254615384615384,-3.4561538461538475,0.5114692457174678,-1.9371432304772884,-2.4486124761947563,-1.354142549003243
2019,2010s,yield_gap_t-60,43,13,13,0.4743047980850814,2.6476571543365117,-1.9192307692307684,-0.8546153846153849,1.0646153846153834,-1.6312332796566114,0.631045979936215,2.2622792595928263,3.5898074764035695
2020,2020s,yield_gap_t-60,43,13,13,0.382348453405804,2.805956817518102,6.016923076923077,-2.163076923076922,-8.18,6.29731326141507,-0.8123477774490433,-7.109661038864113,-6.409316467342933
2021,2020s,yield_gap_t-60,46,14,14,0.3632752309594261,2.2801999658667964,3.8728571428571428,-2.6235714285714296,-6.496428571428572,4.160129732276098,-1.3859957837472325,-5.546125516023331,-4.455372494016985
2022,2020s,yield_gap_t-60,45,14,14,0.4120191947096434,2.6231341716879006,2.077857142857142,1.6578571428571436,-0.4199999999999984,2.494781073532486,3.0218394801319026,0.5270584065994166,-0.3314688384369946
2023,2020s,yield_gap_t-60,34,10,10,0.4115901377959094,2.630194640468688,1.0929999999999995,0.21299999999999936,-0.8800000000000001,1.3451827944457253,1.5789593634995827,0.23377656905385735,1.0017325954879261
2024,2020s,yield_gap_t-60,17,5,5,0.1782005604944583,2.174008020804641,-1.0440000000000011,-4.632,-3.5879999999999983,-0.9344987753624295,-3.426005165533394,-2.4915063901709646,-1.2681174082936382
2025,2020s,yield_gap_t-60,12,4,4,0.3560982364791283,1.5934627546462874,0.5624999999999991,-1.7300000000000004,-2.2924999999999995,0.7403864910592324,-0.9075264462940247,-1.647912937353257,-0.6531892045317464
